type,temp,diversity,det,avg_likelihood,max_likelihood,avg_likelihood_own,max_likelihood_own
ancestral,0.3,0.5359181258082389,0.01586423059882258,-28.16223680496216,-15.649024562835693,-0.366248240172863,0.0
ancestral,0.5,0.6509591127932072,0.04787969760721353,-33.97358783721924,-16.129461183547974,-0.7410141062736512,0.0
ancestral,0.8,0.7296213565766811,0.1062960179959191,-52.05748126983642,-19.440728092193602,-1.5860820817947388,0.0
ancestral,1.0,0.7861304738372564,0.2134331287909299,-76.77272026062012,-27.971936359405518,-2.4561448383331297,0.0
ancestral,1.2,0.8168219920992851,0.27595023468136787,-117.54053619384766,-39.871200256347656,-3.697884373664856,0.0
top-p,0.95,0.7700627799332141,0.17078241756185888,-66.023119430542,-24.50610327720642,-2.0588227248191835,0.0
beam,10.0,0.6395090788602829,0.015609878073494201,-32.007068214416506,-13.435240087509156,-6.970322270393371,0.0
gflownet,0.8,0.808430004939437,0.22943078078329562,-329.0778201293945,-329.0778201293945,-29.916621017456055,-8.518092737197875
gflownet,0.85,0.7881551930308341,0.19865212387405337,-416.83548828125,-416.83548828125,-38.88716331481933,-12.741749753952027
gflownet,0.9,0.7829144667088985,0.19118706492707133,-498.0143341064453,-498.0143341064453,-47.07212642669678,-15.405394849777222
